participant,speed,node,Fx1,Fy1,Fx2,Fy2,speed1,speed2,duration
P1,1.4,2,6.735687188469093,104.91906336338681,149.11716633079865,674.4476218465444,1.4001607560511165,1.4037821084668516,1.101
P1,1.4,3,-3.548513183761488,183.4147827302831,157.17981471918458,638.0548467231961,1.3996370278222727,1.4048157380216801,1.101
P1,1.4,4,-25.799838257282396,273.66068762920173,161.77374569997784,589.2519499394023,1.3989582745558726,1.4061518134070183,1.101
P1,1.4,5,-56.87174228836222,366.80086594090153,161.77945433292354,528.1001142333294,1.3981418120879634,1.4072061839662695,1.101
P1,1.4,6,-89.66580294402158,457.56269690148423,155.94124495396343,456.234720339264,1.398140452132792,1.408407921311252,1.101
P1,1.4,7,-119.41796400765358,542.1473721614908,143.3738122674425,376.9014865194028,1.3969402072124133,1.4090630407125528,1.101
P1,1.4,8,-143.3652237741014,615.6628597678283,124.0545542705416,294.4346125200556,1.389629514599072,1.4088342682644828,1.101
P1,1.4,9,-159.78454798884476,674.000422148615,99.26738596728109,214.03536050493207,1.3764081184410675,1.4085199770417751,1.101
P1,1.4,10,-168.0568954263989,715.8032507188631,71.66371732361938,141.3201923706352,1.3645890202386497,1.4082568194756662,1.101
P1,1.4,11,-169.1343616403326,743.0221292295942,45.280856299014204,81.29233632329544,1.3610353254662693,1.40674869067414,1.101
P1,1.4,12,-164.46638929163498,759.3211309259074,23.67107083580607,37.302626540161334,1.365846884623138,1.4032295615255186,1.101
P1,1.4,13,-155.38906249609641,767.3746717025841,8.882447805235358,10.153463819596258,1.375680573311257,1.3980833554365455,1.101
P1,1.4,14,-143.4166815257237,767.8468902179465,0.0,0.0,1.3861474189683758,1.3930933769125833,1.101
P1,1.4,15,-130.13880274408208,761.003315961636,0.0,0.0,1.3945806064281252,1.3901096200166823,1.101
P1,1.4,16,-116.35103914928554,748.1463664044917,0.0,0.0,1.4000596084369332,1.3894422256650414,1.101
P1,1.4,17,-102.40469264259681,730.4109183015514,0.0,0.0,1.403007786611074,1.3907648465412288,1.101
P1,1.4,18,-88.42065678583589,707.438457145619,0.0,0.0,1.4046836666149614,1.393981305804985,1.101
P1,1.4,19,-74.7525142215995,678.9127952516786,0.0,0.0,1.4060499290323054,1.3988152926640283,1.101
P1,1.4,20,-61.79382660389783,646.4964821327254,0.0,0.0,1.4073012940444565,1.402210886460105,1.101
P1,1.4,21,-50.16303393443091,612.8653488875315,0.13105618892105259,0.2898878584581791,1.408674373877473,1.4025774000924187,1.101
P1,1.4,22,-40.0952013452142,579.8936429173283,0.18135023637632391,0.31826493990009425,1.4092934425206167,1.4009945309488907,1.101
P1,1.4,23,-31.665043200154923,548.8034547271584,0.14879043047060758,0.23495198064472567,1.409121575163557,1.39950526520802,1.101
P1,1.4,24,-24.908186621023816,521.1918440746027,0.09207219375937813,0.1335382606854544,1.4096306458577355,1.398875645108912,1.101
P1,1.4,25,-19.525708922870233,498.71499596799623,0.04130829730602286,0.05487967824355711,1.4105385177283454,1.3990098060887488,1.101
P1,1.4,26,-15.041775565112813,482.10430799459107,0.00882627681066052,0.00890500327557369,1.4107078215079658,1.3997039667307336,1.101
P1,1.4,27,-11.15569672354601,471.24498127070234,0.0,0.0,1.4096975212943426,1.3999519565877736,1.101
P1,1.4,28,-7.456888086708148,465.87710312197055,0.0,0.0,1.4077728388543989,1.3995926452310568,1.101
